,제목,글쓴이,출판사,ISBN,출간연도,줄거리,출판사 서평,crawling
10,아기지능방 물속동물 퍼즐 우리아이 처음하는,은하수미디어 편집부,은하수,8809255213188,2020, 아기지능방 퍼즐 시리즈 소개  재미있는 퍼즐 놀이로 와 를 쑥쑥  퍼즐 놀이는 집중력과 창의력을 키워 주고 손가락의 소근육 발달에도 좋은 두뇌 계발 놀이예요 퍼즐 조각을 이리저리 돌리며 그림을 맞추는 동안 관찰력과 추리력이 자라고 공간 지각력과 창의적 문제 해결 능력을 기를 수 있어요 손을 활발히 움직이는 퍼즐 놀이는 눈과 손의 협응력을 발달시켜 두뇌 발달을 도와요 알록달록한 색감과 재미있는 구성으로 아이들의 지능과 감성을 키워 주세요   아기지능방 물속동물 퍼즐 소개  다양한 물속동물을 알록달록 예쁜 퍼즐로 만나요  재미있는 퍼즐 놀이로 물속동물을 만나 보세요 가오리 바다표범 범고래 상어 황제펭귄 등 다양한 물속동물들을 모양 퍼즐로 맞출 수 있어요 조각 조각 조각 조각 등 총 장의 퍼즐로 구성되어 있어 난이도에 따라 퍼즐놀이를 할 수 있어요  퍼즐 밑판에는 물속동물 이름과 정보가 실려 있어 퍼즐을 맞추며 물속동물에 대해 알아볼 수 있어요 퍼즐 뒷면을 모두 맞추면 커다란 물속동물 마을 그림이 완성돼요 퍼즐을 재미있게 가지고 논 뒤 상자에 담아 깔끔하게 정리할 수도 있어요 알록달록 예쁜 퍼즐로 아이들의 감성과 지능을 키워 주세요,,0~3세
11,모여라 농장 동물 소리 나는 촉감 사진책,애플비 편집부,애플비,9788994853116,2020,동물들의 울음소리를 듣고 촉감도 느낄 수 있는 촉감 사운드북이다 생생한 동물 사진을 보며 같은 동물의 얼굴이 그려진 소리 버튼을 하나씩 누르면 매매 꿀꿀 멍멍 다가닥다가닥 히히힝 꽥꽥 등 농장 동물들의 소리를 들을 수 있다 또한 복슬복슬한 양 털 보드라운 말 털 만질만질한 오리 부리 등 각 사진에 달린 촉감 부분을 만져 보며 농장 동물들의 특성을 손끝으로도 경험해 볼 수 있다  생생한 사진을 통해 귀여운 농장 동물의 생김새를 익히고 사진 속 동물들이 무얼 하고 있는지 살펴보며 동물들의 생태도 살펴볼 수 있다 또 의성어와 의태어가 담긴 짧은 문장을 반복하여 읽으며 어휘력도 기를 수 있다,,0~3세
12,고래야 놀자 손바닥 사운드북,블루래빗 편집부,블루래빗,8809295021286,2019,손바닥으로 둥둥 삐용삐용 짠짠 마음껏 두드려요 아이들이 손바닥을 이용하여 쉽고 재미있게 마음껏 두드리며 자신을 표현하고 신나는 동요에 맞춰 즐겁게 놀 수 있는 사운드북이에요 커다란 고래와 귀여운 문어 작은 물고기 깜찍한 불가사리를 손바닥으로 두드리면 둥둥 챙챙 삐용삐용 짠짠 재미난 소리가 들린답니다 신나는 동요를 들으며 손바닥으로 삐용삐용 짠짠 마음껏 두드리며 즐겁게 놀 수 있어요 고래와 문어 불가사리 물고기를 두드릴 때마다  불빛이 반짝반짝 빛나 아이들이 더욱 좋아하지요  아이들이 좋아하는 우리 동요 곡 영어 동요 곡 수록 아이들에게 인기있는 최신 동요 고래송 문어송과 언제 들어도 즐거운 베스트 동요 곰 세마리 통통통 동물 흉내를 함께 구성했어요              등 곡의 영어 동요까지 들을 수 있어 더욱 좋아요 동요의 내용을 표현한 예쁘고 깜찍한 그림을 보는 것도 또 다른 재미랍니다,,0~3세
13,우리 아기 알록달록 꽃밭 촉감책,스텔라 배곳,어스본코리아,9791188454877,2019,아기의 두뇌와 감각을 발달시키는 촉감 놀이책  꽃밭 숲속 바닷속 등 다채로운 장면이 펼쳐져요 알록달록 그림을 보며 손가락으로 올록볼록한 질감과 다양한 촉감 면을 만져보세요 부드럽게 뚫린 구멍에는 손가락을 쏙쏙 넣어 즐거움도 느낄 수 있답니다   아기와 함께 이렇게 놀아 주세요   아기의 손으로 오돌토돌하고 보들보들한 다양한 촉감 면을 만지면 두뇌가 자극돼요   알록달록한 색감과 무늬가 더해진 사물과 동물 그림이 아기의 시각 발달을 도와요   의성어와 의태어를 이용하여 간단한 장면을 설명하며 주의를 집중시켜 주세요   동물이나 사물의 움직임과 소리를 담은 다양하고 재밌는 의성어 의태어가 언어 감각을 키워 줘요   책을 여러 번 반복해서 보면서 새로운 이야기를 만들어 들려주고 아기의 반응에 섬세하게 반응해 주면 즐거운 책놀이를 즐길 수 있어요,,0~3세
14,우리 아기 알록달록 입체 촉감책,스텔라 배곳,어스본코리아,9791188454884,2019,아기의 두뇌와 감각을 발달시키는  들춰 보는 플랩 놀이  다양한 촉감 놀이  하늘 연못 정원 우주 등 다채로운 장면이 펼쳐져요 알록달록 그림을 보며 플랩을 열어 까꿍 놀이를 즐기고 다양한 촉감 면을 만져 보세요 손가락 길을 따라가며 아기의 소근육도 기를 수 있답니다,,0~3세
15,율동 놀이 동요 튤립 사운드북,김방옥,스마트베어,9788930261708,2019,노래 부르고 율동도 하며 튼튼하게 자라요  영유아 베스트 동요 사운드북 튤립 사운드북의 또 다른 시리즈 율동 놀이 동요가 새로 나왔어요 귀여운 튤립 모양의 마라카스를 손으로 잡고 흔들며 신나는 율동도 따라해 보아요  튤립 사운드북 시리즈는 소리에 민감하게 반응하는 영아들을 위한 감각 자극 사운드북으로 갖고 싶은 동요 사운드북 위에 오른 엄마들의 필수 육아 아이템입니다 튤립 모양의 마라카스가 책과 분리되어 노랫소리에 맞춰 흔들면 불빛과 함께 다양한 효과음이 흘러나와 아기들의 눈과 귀를 사로잡지요 또 한 번 아기들의 마음을 훔칠 따끈따끈한 율동 놀이 동요를 소개합니다    율동 놀이 동요에는 신체 발달을 돕는 흥겨운 율동 놀이 동요 곡이 들어 있어요 쉽고 재미있는 율동 그림을 보며 신나게 몸을 흔들다 보면 대근육과 소근육이 발달할 뿐 아니라 신체 표현력까지 쑥쑥 자라납니다 특히 율동 놀이 동요에서 처음 선보이는 동요 뒤뚱뒤뚱 펭귄은 중독성 있는 멜로디와 귀여운 아기 펭귄의 율동이 돋보이는 창작 동요로 유튜브에서 영상으로도 만날 수 있습니다  율동 놀이 동요와 함께 신나게 노래 부르고 율동도 하며 튼튼하게 키워 주세요,,0~3세
16,멜로디 봉봉 자장가 동요,윤극영,예림당,8809477871036,2019,보고 듣고 만지는 오감 발달 멜로디 봉봉  멜로디 봉봉 시리즈는 보고 듣고 만지며 새로운 세상을 탐색하는 구강기 영아를 위한 오감 자극 사운드북입니다 아기의 두뇌는 새롭고 낯선 것을 경험하기 위해 다양한 자극을 찾습니다 주변에 보이는 것은 가리지 않고 손으로 움켜쥐고 흔들며 입에 넣어 봅니다 멜로디 봉봉은 방긋 웃는 과일 모양으로 시선을 사로잡고 쥐기 쉬운 손잡이와 물고 빨기 좋은 실리콘 촉감 잎사귀 문지르면 과일 향이 나는 향기 카드까지 제공되어 오감 발달에 좋은 자극제가 됩니다 특히 기존 사운드북과는 차별화된 기능을 새로 추가한 것이 눈에 띕니다 버튼 한 번만 누르면 동요 곡이 연속 반복 재생되어 버튼을 다시 눌러야 하는 번거로움이 없고 끊김 없이 계속해서 동요를 들려줍니다 노랫소리에 맞춰 작동하는 양 볼의 불빛과 재밌는 효과음도 확인하세요 멜로디 봉봉 자장가 동요 편에는 아기가 잠들 때 들려주기 좋은 동요를 모았습니다 브람스 자장가 슈베르트 자장가 윤극영의 반달 등 반복되는 운율과 서정적인 멜로디의 자장가는 아기의 심장 박동을 진정시키고 정서적 안정감을 줍니다 멜로디 봉봉 자장가 동요로 잠자는 아기에게 행복한 꿈을 선물하세요,,0~3세
17,우리 아기 오감발달 동물 농장 사운드북,샘 태플린,어스본코리아,8809264180921,2018,와글와글 동물 농장에는 누가 살고 있을까요  청각과 언어 감각 시각과 촉각을 기르는 만능 사운드북  닭이 꼬꼬댁 꼬꼬 병아리가 삐약삐약 양이 매애 매애 오리가 꽥꽥 활기차고 재미난 소리를 내는 동물 친구들을 만나 보세요 그림에 초점을 맞추고 손가락으로 오돌토돌한 촉감을 느끼고 구멍 뒤에 숨은 동물들을 찾아볼 수도 있어요 아기와 함께 다양한 놀이를 즐겨 보세요   아기와 함께 이렇게 놀아 주세요   아기와 함께 사운드 놀이부터 촉감 놀이 까꿍 놀이까지 세 가지 놀이를 즐길 수 있는 만능 사운드북이에요 아기의 관심을 따라 다양하게 즐겨 보세요   호닭 젖소 돼지 농장의 트랙터 병아리 개 양 등 농장에 사는 동물들의 열 가지 소리가 입체적인 음향으로 울려요 아기의 청각 발달에 도움을 주고 호기심과 집중력을 높여 줘요   음매 꿀꿀 꽥꽥 동물들의 울음소리를 따라해 보세요 아기의 언어 감각이 쑥쑥 자라나지요   종이에 구멍을 뚫어 만든 오돌토돌한 질감을 느끼고 구멍 속에 손가락도 넣어 보고 구멍 사이로 까꿍 놀이하듯 숨은 동물들을 찾아보세요 아기의 촉각이 발달되고 두뇌가 자극될 거예요   다양한 장면 속 알록달록한 그림이 시각을 발달시켜 줄 거예요,,0~3세
18,랄랄라 사운드 벽보  구구단,편집부,아이키움북,8809574290525,2018, 노래를 들으며 구구단을 배워요  핸드폰으로 코드를 찍으면 신 나는 동영상이 흘러나와 재미있게 학습을 즐길 수 있어요  아이들의 흥미는 저절로    양쪽 면이 달라서 두 가지로 학습해요  한 면을 다 배우면 뒤집어서 또 다른 면을 활용 벽보 장으로 즐겁게 공부할 수 있어요   구구단과 십구단을 노랫말로 흥얼흥얼  구구단을 외우려고 하면 어려울 수 있지만 동요로 부르면 정말정말 쉬워요  벽에 붙여 놓고 자꾸만 보다 보면 어느 새 입에서 구구단이 술술  구구단을 외우고 나면 한 단계 업그레이드해서 뒷면의 단까지 완전 정복  눈으로 보고 소리로 들으며 재미있게 구구단을 외워 볼까요,,0~3세
19,한글 낱말 카드 진짜 진짜 생생한 카드,아이키움북 편집부,아이키움북,8809574290235,2018,진짜 진짜 생생한 한글 낱말 카드 아이가 주변에서 쉽게 접하는 사물 보이는 모든 것이 신기한 아이들에게 집안은 특별한 장난감이 없어도 놀이터가 됩니다 시원한 물 꼴깍꼴깍 마실 때 쓰는 컵 꿀꺽꿀꺽 마시면 키가 자라는 우유 엄마 아빠랑 두런두런 이야기할 때 앉는 소파 아이들은 먼저 사물의 이름을 배우고 그다음에 의성어 의태어를 들으며 어휘력과 표현력을 풍성하게 키워 나갑니다,,0~3세
20,짠 까꿍 놀이,기무라 유이치,웅진주니어,9788901220512,2017,아기의 대상 영속성이 쑥쑥 자라는 행복한 까꿍 놀이 그림책  아기가 아침에 눈을 뜨고 잠들기까지 하루 동안 많은 일들이 일어납니다 하루 세끼 밥을 챙겨 먹고 이를 닦고 화장실에 가고 친구들과 즐겁게 놀고 옷을 갈아입고 쿨쿨 잠이 듭니다 이런 생활은 어른들에게는 특별하지 않은 일상이지만 아기에게는 매 순간 처음 겪는 특별한 일이지요 때로는 신기하고 때로는 어색한 생활 습관을 매일매일 반복해 나가며 아기는 성장합니다  짠 까꿍 놀이는 그런 아기에게 즐거운 까꿍 놀이를 알려 주고 엄마와의 일상을 행복한 놀이 시간으로 만들어 주는 그림책입니다 동물 친구들과 다슬이는 얼굴을 가리고 있다가 책장을 넘기면 까꿍이라고 외칩니다 그러고는 엄마가 아주 색다른 까꿍 놀이를 하면서 놀이의 즐거움은 두 배가 됩니다 자기 신체에 관심을 가지고 놀이를 즐기기 시작한 아기에게 짠 까꿍 놀이를 선물해 주세요 사물의 일부를 가려도 전체를 생각해 내는 능력인 대상 영속성을 키워 주는 든든한 친구가 될 거예요,,0~3세
21,우리 아기 오감발달 소곤소곤 한밤중 사운드북,샘 태플린,어스본코리아,8809264180860,2017,한밤중에 누가 재미난 소리를 낼까요 청각과 언어 감각 시각과 촉각을 기르는 소곤소곤 한밤중 사운드북 아기가 코 잠든 밤에 어떤 일이 일어날까요 부엉이가 부엉부엉 빗방울이 타닥타닥 야간 기차가 덜커덩 여우가 컹 박쥐가 찍찍 깜깜한 밤에 재미난 소리를 내는 동물 친구들과 사물들을 만나 보세요 그림에 초점을 맞추고 손가락으로 오돌토돌한 촉감을 느끼고 구멍 뒤에 숨은 동물과 사물들을 찾아볼 수도 있어요 아기와 함께 다양한 놀이를 즐겨 보세요,,0~3세
22,우리 아기 첫 손가락 놀이책 동물원,스텔라 배곳,어스본코리아,9791186872550,2017,우리 아기 첫 손가락 놀이책 동물원에 동그란 구멍에 손가락을 쏙 넣고 오른쪽과 왼쪽으로 위와 아래로 살짝 밀어 보세요 아기의 손가락 힘을 길러 소근육을 발달시켜 주지요 오른손 왼손을 번갈아 가며 움직이는 사이 좌뇌와 우뇌가 고루 발달될 거예요 동그란 구멍에 손가락을 넣어 밀면 숨어 있던 귀여운 동물 친구들이 나타나요 마치 까꿍 놀이를 하는 것처럼요 아기의 호기심을 자극하고 흥미를 돋우어 준답니다 다양한 동물들의 알록달록한 색감과 무늬가 아기의 시각 발달을 도와줘요 동물들의 움직임과 소리를 담은 다양하고 재밌는 의성어 의태어가 언어 감각을 키워 줍니다,,0~3세
23,또 누구게,최정선,보림,9788943311179,2017,빨갛게 빨갛게 물들었네 노랗게 노랗게 물들었네  햇살이 따가워요 귓가를 스치는 바람은 차갑고요 길가의 풀잎들이 바스락거려요 나뭇잎들은 빨갛게 노랗게 갈색으로 물들었어요 가을이 깊어가요 알아맞혀 봐 누구게 노을빛으로 곱게 물든 덤불 위로 쫑긋 두 귀가 솟았어요 귀가 길쭉한 걸 보니 틀림없어요 토끼 책장을 넘겼어요 귀여운 토끼가 고개를 쏙 내밀고 눈을 맞춰요 맞았다  지난여름 싱그러운 초록 잎으로 얼굴을 가리고 누구게를 외치던 장난꾸러기들 기억나세요 이번엔 알록달록 곱게 물든 가을 숲에서 또 다른 장난꾸러기들이 몰려와 놀자고 합니다 새빨간 단풍잎으로 얼굴을 가리고 팔락거리는 감빛 밤빛 나뭇잎 뒤에 숨어서 여러분들을 기다려요 요모조모 차근차근 살펴보면서 숨어 있는 게 누군지 알아맞혀 보세요 저기 주황빛 나뭇잎 사이로 삐죽 나온 엄니를 보세요 벌렁거리는 콧구멍을 보세요 저건 누굴까요 저쪽 노랗게 물든 은행나무 뒤에 서 있는 커다란 덩치는요 떡갈나무 이파리 가면 뒤에 숨은 건 또 누굴까요,,0~3세
24,타이거스쿨 만세 선긋기 직선 곡선 도형 사물 선 긋기,삼성출판사 편집부,삼성출판사,9788915105355,2017,  만세 선 긋기는 아이들이 재미있게 가지고 놀 수 있는 놀이책입니다 활동을 통해 재미는 물론 두뇌 발달에도 도움을 줍니다 직선 곡선 도형 사물 등 다양한 선 긋기를 직접 해볼 수 있습니다,,0~3세
25,눈 코 입,백주희,보림,9788943310721,2017,눈눈눈눈눈눈 코 코코코코코코 입    표지를 보니 줄무늬 티셔츠를 입은 아기가 두 팔을 번쩍 치켜들었어요 동그란 눈 발그레한 볼 몇 가닥 안 되는 머리카락이 귀여워요 아기는 만세를 하는데 제목은 눈코입 도대체 무슨 책일까요  책장을 넘겼어요 한쪽 구석에서 아기가 짠 하고 등장하더니 대뜸 손가락으로 눈을 가리켜요 눈눈눈눈눈눈 어라 이게 뭐죠 다시 책장을 넘겼어요 코 이번엔 아기 손가락이 코를 가리키네요 아하 아기들이 좋아하는 코코코코 놀이로군요 아기가 코를 외치니 코끼리가 냉큼 이어받아요 코코코코코코 입 얼른 손가락으로 입을 짚어요 원숭이가 끼어들어요 입입입입입입 귀 토끼랑 사자가 달려와요 귀귀귀귀귀귀 머리 머리머리머리머리 어깨,,0~3세
26,표정으로 배우는 ㄱㄴㄷ,솔트앤페퍼,소금과후추,9788956188003,2017,ㄱ부터 ㅎ까지 재미있는 표정으로 한글을 익혀요  표정으로 배우는 ㄱㄴㄷ은 왼쪽 페이지에 자음 하나와 그 자음이 들어간 의성어 의태어로 시작하는 짧은 문장이 있습니다 오른쪽 페이지에는 얼굴 속에 왼쪽의 자음이 눈이 되고 입이 되어 의성어 의태어의 느낌을 고스란히 표현하고 있습니다 얼굴을 살피어 한글을 찾아내는 과정에서 아이는 어느새 글자의 다양한 형태에 눈을 뜨게 될 것입니다,,0~3세
27,우리 아기 오감발달 시끌벅적 정글 사운드북,샘 태플린,어스본코리아,8809264180679,2017,정글 동물들과 재미난 소리 놀이해요 청각과 언어 감각 시각과 촉각을 기르는 만능 사운드북  시끌벅적 정글에 누가 살고 있을까요 호랑이가 어흥 개구리가 개굴개굴 아기 코끼리가 참방참방 오랑우탄이 우우 아아 신기하고 재밌는 소리를 내는 동물 친구들을 만나 보세요 그림에 초점을 맞추고 손가락으로 오돌토돌한 촉감을 느끼고 구멍 뒤에 숨은 동물들을 찾아볼 수도 있어요 아기와 함께 다양한 놀이를 즐겨 보세요,,0~3세
28,우리 아기 오감발달 알록달록 꽃밭 사운드북,샘 태플린,어스본코리아,8809264180648,2017,알록달록 꽃밭에 누가 살고 있을까요 새가 뾰롱뾰롱 벌이 위이잉 개구리가 개굴개굴 메뚜기가 치르르르 아름답고 신기한 소리를 내는 동물 친구들을 만나 보세요 그림에 초점을 맞추고 손가락으로 오돌토돌한 촉감을 느끼고 구멍 뒤에 숨은 동물들을 찾아볼 수도 있어요 아기와 함께 다양한 놀이를 즐겨 보세요,,0~3세
29,우리 아기 클래식 자장가 사운드북,샘 태플린,어스본코리아,8809264180624,2017,우리 아기 잠자리에 놓아둘 필수품 아기와 함께 듣는 클래식 사운드북입니다 부엉이들이 아기 동물들을 위해 자장가를 연주해요 브람스 쇼팽 포레 슈베르트 모차르트의 대표 클래식 곡이 사랑스러운 우리 아기를 달콤하고 포근한 꿈나라로 인도해 줘요,,0~3세
30,핑크퐁 마트놀이 스티커 핑크퐁 마트놀이 스티커  붙였다 떼었다 안심 스티커 개,편집부,스마트스터디,8809456150398,2016,마음대로 붙였다 떼었다  반복하여 사용 할 수 있는 핑크퐁 마트놀이 스티커 로 재미있는 마트놀이를 해보아요 과일 채소 해산물 옷 빵 장난감 등 아이의 일상에서 만나는 다양한 사물을 인지하고 이름을 배울 수 있습니다 말랑말랑 개의 스티커를 붙였다 떼며 반복해서 놀이해요 스티커판을 펼치면 재미있는 마트가 통째로 담겨 있습니다 진열대에 어울리게 사물을 분류하여 붙여 보고 사고 싶은 물건을 카트와 계산대에 붙여보세요 핑크퐁과 함께 마트에서 점원도 되고 손님도 되며 역할 놀이도 가능합니다,,0~3세
31,핑크퐁 공룡 스티커 핑크퐁 공룡 스티커  붙였다 떼었다 안심 스티커 개,편집부,스마트스터디,8809456150237,2016,핑크퐁과 함께 공룡 기차를 타고 공룡 탐험을 떠나요 하늘 물 땅에 사는 다양한 육식 공룡 초식 공룡 바다 파충류 익룡을 만나보세요 사냥왕 티라노사우루스 뿔이 멋진 트리케라톱스 갑옷을 입은 안킬로사우루스 등 생김새가 생생하게 살아있는 공룡 스티커가 가득해요 귀여운 공룡으로 변신한 핑크퐁 스티커도 들어 있어요,,0~3세
32,가나다는 맛있다,우지영,책읽는곰,9791158360290,2016,별곰달곰 권 제목처럼 모든 페이지에 한 가지 이상 아이들이 좋아하는 음식이 나온다 달달한 바나나 따끈따끈 핫케이크 새콤달콤 요구르트 고소한 우유 가 나 다 라 지루하고 딱딱하게 전달하기보다 아이들에게 친근한 음식으로 자연스레 한글을 익히도록 했다 서른 가지가 넘는 군침 도는 음식을 보면서 즐겁게 가나다를 배울 수 있다  표제어에 간질간질 영차영차 으쓱으쓱처럼 아이들에게 익숙한 의성어 의태어부터 다르르 딸싹딸싹 욜랑욜랑 같은 새로운 표현까지 풍성하게 담았다 그림 속 대사와 상황을 통해 각 의성어 의태어가 어떤 때 쓰이는지 자연스레 이해할 수 있도록 했다 재밌는 소리로 이뤄진 의성어 의태어는 아이의 언어 감각을 자극해 언어 능력을 발달시킨다 풍부한 어휘력과 뛰어난 표현력을 지닌 아이로 길러 준다  알라딘 제공,가나다는 맛있다 한글은 재밌다  가 가 가는 간질간질 감 나 나 나는 나박나박 나박김치 다 다 다는 다르르 달걀말이   지루하게 외우는 한글 공부는 이제 그만 노래하듯 읽는 재미 맛있는 음식 보는 재미 자음과 모음을 함께 익혀 기초가 탄탄 풍부한 의성어 의태어로 어휘력이 쑥쑥  이 책의 좋은 점  리듬감이 살아 있는 유쾌한 말놀이 가나다  아이들의 눈길을 사로잡는 맛있는 음식으로 구성  어휘력을 늘려 주는 풍부한 의성어 의태어  자음과 모음을 빠짐없이 담은 사전 체계를 따른 구성  의인화된 음식들의 깜찍하고 익살스런 이야기를 담은 그림책  다양한 말놀이로 자연스러운 한글 학습 효과  책 소개  리듬감이 살아 있는 유쾌한 말놀이 가나다 가 가 가는 간질간질 감 마 마 마는 만지작만지작 만두  페이지마다 가나다로 시작하는 음식 이름과 의성어 의태어가 딱딱 맞춰 나와요 반복되는 리듬에다 마음껏 곡조를 넣어 노래나 랩처럼 부르면서 신나게 가나다를 배울 수 있어요 아이들에게 반복은 가장 기본적인 학습법이에요 엄마 아빠가 자주 하는 말 종종 듣는 노래를 따라하며 말을 배워요 특히 리듬과 운율이 살아 있는 말놀이는 아이의 언어 감각을 발달시키고 표현력을 풍부하게 해 준답니다   아이들이 좋아하는 맛있는 음식으로 구성 가나다는 맛있다는 제목처럼 모든 페이지에 한 가지 이상 아이들이 좋아하는 음식이 나와요 달달한 바나나 따끈따끈 핫케이크 새콤달콤 요구르트 고소한 우유 맛있는 음식을 보면 기분이 정말 좋아져요 가 나 다 라 지루하고 딱딱하게 전달하기보다 아이들에게 친근한 음식으로 자연스레 한글을 익히도록 했어요 서른 가지가 넘는 군침 도는 음식을 보면서 즐겁게 가나다를 배워요   어휘력을 늘려 주는 풍부한 의성어 의태어 표제어에 간질간질 영차영차 으쓱으쓱처럼 아이들에게 익숙한 의성어 의태어부터 다르르 딸싹딸싹 욜랑욜랑 같은 새로운 표현까지 풍성하게 담았어요 그림 속 대사와 상황을 통해 각 의성어 의태어가 어떤 때 쓰이는지 자연스레 이해할 수 있도록 했어요 재밌는 소리로 이뤄진 의성어 의태어는 아이의 언어 감각을 자극해 언어 능력을 발달시켜요 풍부한 어휘력과 뛰어난 표현력을 지닌 아이로 길러 주지요   자음과 모음을 빠짐없이 담은 사전 체계를 따른 구성 시중에 나와 있는 한글 책은 대부분 자음으로만 이뤄져 있어요 자음만으로는 한글의 구조를 한눈에 이해하기 어려워요 이 책에서는 사전 체계에 따라 가 까 나 다 따 된소리를 포함한 자음 개와 아 야 어 여 모음 개를 빠짐없이 담았습니다 아이들이 자음과 모음을 함께 익혀 한글 체계를 탄탄히 쌓을 수 있게 구성했어요 책 뒤편에는 부록으로 낱말 풀이를 실었어요 아이들 눈높이에 맞춘 간결한 뜻풀이와 예문을 달아 우리 아이가 보는 첫 국어사전의 기능까지 더했습니다   의인화된 음식들의 깜찍하고 익살스런 이야기를 담은 그림책 가나다는 맛있다에 나오는 음식들은 저마다 사연이 있어요 쌀쌀맞은 쌀밥은 계란말이며 김 열무김치 같은 반찬들이 구애를 해도 쌀쌀맞게 외면하고 파들파들 파인애플은 냉장고 속이 너무 추워서 파들파들 떠는 것처럼 그림 속에 각 음식과 의성어 의태어가 절묘하게 결합하여 만들어진 상황이 아이들의 눈길을 한참 머무르게 합니다 의인화된 음식들이 생생하게 살아 움직이며 만들어 낸 깜찍하고 익살스런 이야기를 통해 그림책으로서의 역할까지 톡톡히 해냅니다   다양한 가나다 말놀이가 가능하다 독후활동으로 같은 음절로 시작되는 음식이나 의성어 의태어를 더 찾아보거나 나만의 가나다 문장을 새로 만들어 보면 어떨까요 가나다 각 음절로 시작하는 단어 대기를 하거나 의성어 의태어만으로 노래를 만들어 볼 수도 있어요 아야어여 모음을 응용해 가갸거겨 한글 음절을 모두 익혀 보는 것도 좋겠지요,0~3세
